family,genus,table1,species,level,number,Remove
Sapindaceae,Alectryon,no,Alectryon oleifolius,species,3,yes
Sapindaceae,Alectryon,no,Alectryon oleifolius,species,3,
Sapindaceae,Alectryon,no,Alectryon tomentosum,species,3,
Sapindaceae,Alectryon,no,Alectryon tropicus,species,3,yes
Sapindaceae,Alectryon,no,Alectryon tropicus,species,3,
Nartheciaceae,Aletris,no,Aletris spp.,genus,NA,
Polemoniaceae,Aliciella,no,Aliciella stenothyrsa,species,46.3,
Boraginaceae,Alkanna,no,Alkanna spp.,family,4,
Apocynaceae,Allamanda,no,Allamanda spp.,genus,NA,
Apocynaceae,Allamanda,no,Allamanda spp.,genus,NA,
Brassicaceae,Alliaria,no,Alliaria petiolata,species,18.33,
Brassicaceae,Alliaria,no,Alliaria spp.,genus,12,
Amaryllidaceae,Allium,no,Allium amplectens,species,6,
Amaryllidaceae,Allium,no,Allium amplectens,species,6,yes
Amaryllidaceae,Allium,no,Allium cyaneum,species,5760,
Amaryllidaceae,Allium,no,Allium falcifolium,species,6,
Amaryllidaceae,Allium,no,Allium falcifolium,species,5.9,yes
Amaryllidaceae,Allium,no,Allium fimbriatum,species,6,
Amaryllidaceae,Allium,no,Allium fimbriatum,species,6,yes
Amaryllidaceae,Allium,no,Allium spp.,genus,6,
Amaryllidaceae,Allium,no,Allium stellatum,species,6,
Amaryllidaceae,Allium,no,Allium stellatum,species,6,
Amaryllidaceae,Allium,no,Allium stellatum,species,15,
Amaryllidaceae,Allium,no,Allium stellatum,species,6,yes
Amaryllidaceae,Allium,no,Allium wallichii,species,5.99791076,yes
Amaryllidaceae,Allium,no,Allium wallichii,species,6,
Amaryllidaceae,Allium,no,Allium wallichii,species,6,yes
Amaranthaceae,Allmania,no,Allmania nodiflora,species,1,
Apocynaceae,Allomarkgrafia,no,Allomarkgrafia spp.,genus,NA,
Polemoniaceae,Allophyllum,no,Allophyllum divaricatum,species,4,
Polemoniaceae,Allophyllum,no,Allophyllum gilioides,species,29.7,
Polemoniaceae,Allophyllum,no,Allophyllum integrifolium,species,3,
Sapindaceae,Allophylus,no,Allophylus spp.,genus,2,
Betulaceae,Alnus,no,Alnus spp.,family,2,
Araceae,Alocasia,no,Alocasia spp.,genus,8,
Araceae,Alocasia,no,Alocasia spp.,genus,NA,
Asphodelaceae,Aloe,no,Aloe ferox,species,191.866874,yes
Asphodelaceae,Aloe,no,Aloe ferox,species,192,
Asphodelaceae,Aloe,no,Aloe spp.,genus,NA,
Rhamnaceae,Alphitonia,no,Alphitonia excelsa,species,2,
Rhamnaceae,Alphitonia,no,Alphitonia spp.,genus,2.5,
Zingiberaceae,Alpinia,no,Alpinia guinanensis,species,39.55,
Zingiberaceae,Alpinia,no,Alpinia guinanensis,species,33,
Zingiberaceae,Alpinia,no,Alpinia guinanensis,species,43,
Zingiberaceae,Alpinia,no,Alpinia hainanensis,species,180.52,
Zingiberaceae,Alpinia,no,Alpinia hainanensis,species,179,
Zingiberaceae,Alpinia,no,Alpinia hainanensis,species,182,
Zingiberaceae,Alpinia,no,Alpinia oxyphylla,species,25.97,
Zingiberaceae,Alpinia,no,Alpinia oxyphylla,species,25.8,
Zingiberaceae,Alpinia,no,Alpinia oxyphylla,species,26.3,
Zingiberaceae,Alpinia,no,Alpinia polyantha,species,15.98,
Zingiberaceae,Alpinia,no,Alpinia polyantha,species,15.4,
Zingiberaceae,Alpinia,no,Alpinia polyantha,species,17,
Zingiberaceae,Alpinia,no,Alpinia roxburghii,species,60,
Zingiberaceae,Alpinia,no,Alpinia roxburghii,species,77.3,
Zingiberaceae,Alpinia,no,Alpinia stachyodes,species,7.1,
Zingiberaceae,Alpinia,no,Alpinia stachyodes,species,7.5,
Zingiberaceae,Alpinia,no,Alpinia zerumbet,species,92.15,
Zingiberaceae,Alpinia,no,Alpinia zerumbet,species,90.8,
Zingiberaceae,Alpinia,no,Alpinia zerumbet,species,93,
Lauraceae,Alseodaphne,no,Alseodaphne spp.,genus,1,
Alseuosmiaceae,Alseuosmia,no,Alseuosmia spp.,genus,NA,
Caryophyllaceae,Alsinidendron,no,Alsinidendron lychnoides,species,350,
Caryophyllaceae,Alsinidendron,no,Alsinidendron obovatum,species,160,
Caryophyllaceae,Alsinidendron,no,Alsinidendron trinerve,species,83.9,
Caryophyllaceae,Alsinidendron,no,Alsinidendron viscosum,species,122,
Caryophyllaceae,Alsinidendron,no,Alsinidendron viscosum,species,122,
Alstroemeriaceae,Alstroemeria,no,Alstroemeria aurea,species,23,
Alstroemeriaceae,Alstroemeria,no,Alstroemeria aurea,species,24.8885732,yes
Alstroemeriaceae,Alstroemeria,no,Alstroemeria aurea,species,24.91,
Alstroemeriaceae,Alstroemeria,no,Alstroemeria aurea,species,24.1,
Alstroemeriaceae,Alstroemeria,no,Alstroemeria aurea,species,20.125,
Alstroemeriaceae,Alstroemeria,no,Alstroemeria exserens,species,33.6,
Alstroemeriaceae,Alstroemeria,no,Alstroemeria pallida,species,36.64,
Alstroemeriaceae,Alstroemeria,no,Alstroemeria umbellata,species,19.36,
Amaranthaceae,Alternanthera,no,Alternanthera paronychioides,species,1,
Amaranthaceae,Alternanthera,no,Alternanthera spp.,genus,1,
Amaranthaceae,Alternanthera,no,Alternanthera spp.,genus,1,
Malvaceae,Althaea,no,Althaea spp.,genus,16.5,
Myrtaceae,Aluta,no,Aluta maisonneuvei,species,5,
Fabaceae,Alysicarpus,no,Alysicarpus spp.,genus,NA,
Fabaceae,Alysicarpus,no,Alysicarpus spp.,genus,NA,
Brassicaceae,Alyssum,no,Alyssum damascenum,species,4,
Brassicaceae,Alyssum,no,Alyssum loiseleurii,species,4,
Brassicaceae,Alyssum,no,Alyssum simplex,species,4,
Brassicaceae,Alyssum,no,Alyssum spp.,genus,1.5,
Apocynaceae,Alyxia,no,Alyxia ruscifolia,species,6,
Apocynaceae,Alyxia,no,Alyxia spicata,species,5,
Apocynaceae,Alyxia,no,Alyxia spicata,species,8,
Apocynaceae,Alyxia,no,Alyxia spicata,species,6,
Phyllanthaceae,Amanoa,no,Amanoa spp.,genus,6,
Amaranthaceae,Amaranthus,no,Amaranthus spp.,genus,1,
Amaryllidaceae,Amaryllis,no,Amaryllis belladonna,species,NA,
Fabaceae,Amblygonocarpus,no,Amblygonocarpus andongensis,species,12.4,
Amborellaceae,Amborella,no,Amborella trichopoda,species,6,
Asteraceae,Ambrosia,no,Ambrosia artemisiifolia,species,1,
Rosaceae,Amelanchier,no,Amelanchier alnifolia,species,7,
Rosaceae,Amelanchier,no,Amelanchier alnifolia,species,3.7,
Rosaceae,Amelanchier,no,Amelanchier arborea,species,10,
Sapindaceae,Amesiodendron,no,Amesiodendron spp.,genus,3,
Fabaceae,Amherstia,no,Amherstia nobilis,species,4,
Zingiberaceae,Amomum,no,Amomum maximum,species,44.63,
Zingiberaceae,Amomum,no,Amomum maximum,species,44.6,
Fabaceae,Amorpha,no,Amorpha canescens,species,2,
Fabaceae,Amorpha,no,Amorpha canescens,species,2,
Fabaceae,Amorpha,no,Amorpha canescens,species,2,
Fabaceae,Amorpha,no,Amorpha canescens,species,2,
Fabaceae,Amorpha,no,Amorpha crenulata,species,2,
Araceae,Amorphophallus,no,Amorphophallus spp.,genus,2.5,
Vitaceae,Ampelocissus,no,Ampelocissus gardineri,species,4,
Vitaceae,Ampelocissus,no,Ampelocissus gardineri,species,4,
Boraginaceae,Amsinckia,no,Amsinckia douglasiana,species,3.9994475,yes
Boraginaceae,Amsinckia,no,Amsinckia douglasiana,species,4,
Boraginaceae,Amsinckia,no,Amsinckia grandiflora,species,4,
Boraginaceae,Amsinckia,no,Amsinckia vernicosa,species,3.9994475,yes
Boraginaceae,Amsinckia,no,Amsinckia vernicosa,species,4,
Orchidaceae,Anacamptis,no,Anacamptis coriophora,species,2410,
Orchidaceae,Anacamptis,no,Anacamptis coriophora,species,2410,yes
Orchidaceae,Anacamptis,no,Anacamptis morio,species,8165.82371,
Orchidaceae,Anacamptis,no,Anacamptis morio,species,8172.65,
Orchidaceae,Anacamptis,no,Anacamptis morio,species,7910,
Orchidaceae,Anacamptis,no,Anacamptis morio,species,5123,
Orchidaceae,Anacamptis,no,Anacamptis morio,species,6467.222,
Orchidaceae,Anacamptis,no,Anacamptis morio,species,5123,yes
Orchidaceae,Anacamptis,no,Anacamptis pyramidalis,species,3425,
Orchidaceae,Anacamptis,no,Anacamptis pyramidalis,species,3188.939,
Fabaceae,Anagyris,no,Anagyris foetida,species,8.82,
Araceae,Anaphyllopsis,no,Anaphyllopsis americana,species,1,
Araceae,Anaphyllopsis,no,Anaphyllopsis americana,species,1,
Fabaceae,Anarthrophyllum,no,Anarthrophyllum cumingii,species,4.2,
Fabaceae,Anarthrophyllum,no,Anarthrophyllum gayanum,species,3.64,
Brassicaceae,Anastatica,no,Anastatica hierochuntica,species,4,
Annonaceae,Anaxagorea,no,Anaxagorea spp.,genus,2,
Ancistrocladaceae,Ancistrocladus,no,Ancistrocladus spp.,genus,1,
Ancistrocladaceae,Ancistrocladus,no,Ancistrocladus spp.,genus,1,
Acanthaceae,Andrographis,no,Andrographis paniculata,species,12,
Ericaceae,Andromeda,no,Andromeda polifolia,species,46.4,yes
Ericaceae,Andromeda,no,Andromeda polifolia,species,46.4,
Primulaceae,Androsace,no,Androsace spp.,genus,NA,
Picrodendraceae,Androstachys,no,Androstachys spp.,genus,6,
Apocynaceae,Anechites,no,Anechites spp.,genus,8,
Asparagaceae,Anemarrhena,no,Anemarrhena spp.,genus,6,
Ranunculaceae,Anemone,no,Anemone cylindrica,species,257,
Ranunculaceae,Anemone,no,Anemone multifida,species,8072.3503,yes
Ranunculaceae,Anemone,no,Anemone multifida,species,8066.5,
Ranunculaceae,Anemone,no,Anemone parviflora,species,75.3,yes
Ranunculaceae,Anemone,no,Anemone parviflora,species,75.3,
Ranunculaceae,Anemone,no,Anemone parviflora,species,1,
Ranunculaceae,Anemonella,no,Anemonella thalictroides,species,5.7,yes
Ranunculaceae,Anemonella,no,Anemonella thalictroides,species,5.7,
Apiaceae,Angelica,no,Angelica glauca,species,2,
Linaceae,Anisadenia,no,Anisadenia spp.,genus,6,
Dipterocarpaceae,Anisoptera,no,Anisoptera spp.,genus,6,
Annonaceae,Annona,no,Annona spp.,genus,NA,
Annonaceae,Annona,no,Annona spp.,genus,1,
Poaceae,Anthoxanthum,no,Anthoxanthum nitens,species,1,
Araceae,Anthurium,no,Anthurium sagittatum,species,2,
Araceae,Anthurium,no,Anthurium spp.,genus,3,
Araceae,Anthurium,no,Anthurium spp.,genus,5,
Araceae,Anthurium,no,Anthurium thrinax,species,2,
Fabaceae,Anthyllis,no,Anthyllis cornicina,species,5.660112,
Fabaceae,Anthyllis,no,Anthyllis cytisoides,species,8.765714,
Fabaceae,Anthyllis,no,Anthyllis hamosa,species,2.255198,
Fabaceae,Anthyllis,no,Anthyllis lotoides,species,12.12293,
Fabaceae,Anthyllis,no,Anthyllis vulneraria,species,2,
Fabaceae,Anthyllis,no,Anthyllis vulneraria,species,2,
Phyllanthaceae,Antidesma,no,Antidesma montanum,species,2,
Phyllanthaceae,Antidesma,no,Antidesma parvifolium,species,6,
Meliaceae,Aphanamixis,no,Aphanamixis spp.,genus,6,
Acanthaceae,Aphelandra,no,Aphelandra spp.,genus,4,
Acanthaceae,Aphelandra,no,Aphelandra spp.,genus,4,
Aphloiaceae,Aphloia,no,Aphloia spp.,genus,7,
Brassicaceae,Aphragmus,no,Aphragmus spp.,genus,4,
Podostemaceae,Apinagia,no,Apinagia longifolia,species,1515,
Podostemaceae,Apinagia,no,Apinagia sp.1,species,1304,
Podostemaceae,Apinagia,no,Apinagia sp.2,species,289,
Apiaceae,Apium,no,Apium spp.,genus,2,
Apocynaceae,Apocynum,no,Apocynum cannabinum,species,328.095293,yes
Apocynaceae,Apocynum,no,Apocynum cannabinum,species,328,
Apocynaceae,Apocynum,no,Apocynum cannabinum,species,328,yes
Apocynaceae,Apocynum,no,Apocynum spp.,family,NA,
Aponogetonaceae,Aponogeton,no,Aponogeton afroviolaceus,species,20,
Aponogetonaceae,Aponogeton,no,Aponogeton afroviolaceus,species,6,
Phyllanthaceae,Aporosa,no,Aporosa octandra,species,4,
Thymelaeaceae,Aquilaria,no,Aquilaria spp.,genus,2,
Brassicaceae,Arabidopsis,no,Arabidopsis thaliana,species,31.21,
Brassicaceae,Arabidopsis,no,Arabidopsis thaliana,species,47.5,
Brassicaceae,Arabis,no,Arabis aucheri,species,33.4,
Brassicaceae,Arabis,no,Arabis caerulea,species,NA,
Brassicaceae,Arabis,no,Arabis caerulea,species,20.1,
Brassicaceae,Arabis,no,Arabis verna,species,25,
Araliaceae,Aralia,no,Aralia nudicaulis,species,5,
Ericaceae,Arbutus,no,Arbutus spp.,genus,NA,
Santalaceae,Arceuthobium,no,Arceuthobium spp.,genus,2,
Urticaceae,Archiboehmeria,no,Archiboehmeria spp.,genus,1,
Asteraceae,Arctium,no,Arctium minus,species,1,
Asteraceae,Arctium,no,Arctium minus,species,1,
Asteraceae,Arctium,no,Arctium minus,species,1,
Asteraceae,Arctium,no,Arctium minus,species,1,yes
Ericaceae,Arctostaphylos,no,Arctostaphylos spp.,genus,11.25,
Rubiaceae,Arcytophyllum,no,Arcytophyllum aristatum,species,25.15,
Rubiaceae,Arcytophyllum,no,Arcytophyllum capitatum,species,29.65,
Rubiaceae,Arcytophyllum,no,Arcytophyllum ciliolatum,species,27.15,
Rubiaceae,Arcytophyllum,no,Arcytophyllum filiforme,species,22.4,
Rubiaceae,Arcytophyllum,no,Arcytophyllum lavarum,species,10.4231743,yes
Rubiaceae,Arcytophyllum,no,Arcytophyllum lavarum,species,10.45,
Rubiaceae,Arcytophyllum,no,Arcytophyllum macbridei,species,29.05,
Rubiaceae,Arcytophyllum,no,Arcytophyllum macbridei,species,30.45,
Rubiaceae,Arcytophyllum,no,Arcytophyllum rivetii,species,25.65,
Rubiaceae,Arcytophyllum,no,Arcytophyllum setosum,species,34.2,
Rubiaceae,Arcytophyllum,no,Arcytophyllum thymifolium,species,29.45,
Rubiaceae,Arcytophyllum,no,Arcytophyllum vernicosum,species,26.6,
Primulaceae,Ardisia,no,Ardisia austin-smithii,species,9,
Primulaceae,Ardisia,no,Ardisia bartletii,species,15,
Primulaceae,Ardisia,no,Ardisia compressa,species,NA,
Primulaceae,Ardisia,no,Ardisia compressa,species,22.5,
Primulaceae,Ardisia,no,Ardisia compressa,species,27,
Primulaceae,Ardisia,no,Ardisia compressa,species,30,
Primulaceae,Ardisia,no,Ardisia copeyana,species,NA,
Primulaceae,Ardisia,no,Ardisia dukei,species,23,
Primulaceae,Ardisia,no,Ardisia dwyeri,species,NA,
Primulaceae,Ardisia,no,Ardisia foetida,species,NA,
Primulaceae,Ardisia,no,Ardisia geniculata,species,25,
Primulaceae,Ardisia,no,Ardisia glomerata,species,NA,
Primulaceae,Ardisia,no,Ardisia granatensis,species,NA,
Primulaceae,Ardisia,no,Ardisia hagenii,species,NA,
Primulaceae,Ardisia,no,Ardisia megistophylla,species,NA,
Primulaceae,Ardisia,no,Ardisia nervosissima,species,5,
Primulaceae,Ardisia,no,Ardisia nigropunctata,species,15.5,
Primulaceae,Ardisia,no,Ardisia opegrapha,species,14,
Primulaceae,Ardisia,no,Ardisia palmana,species,NA,
Primulaceae,Ardisia,no,Ardisia panamensis,species,18,
Primulaceae,Ardisia,no,Ardisia perinsignis,species,NA,
Primulaceae,Ardisia,no,Ardisia pulverulenta,species,6,
Primulaceae,Ardisia,no,Ardisia subsessilifolia,species,22,
Primulaceae,Ardisia,no,Ardisia tenuis,species,6.5,
Primulaceae,Ardisia,no,Ardisia tysonii,species,NA,
Primulaceae,Ardisia,no,Ardisia wedelii,species,12,
Rubiaceae,Argostemma,no,Argostemma gracile,species,40,
Fabaceae,Argyrolobium,no,Argyrolobium zanonii,species,6.870404,
Fabaceae,Argyrolobium,no,Argyrolobium zanonii,species,4.7,yes
Fabaceae,Argyrolobium,no,Argyrolobium zanonii,species,6.87,
Fabaceae,Argyrolobium,no,Argyrolobium zanonii,species,4.7,
Fabaceae,Argyrolobium,no,Argyrolobium zanonii,species,6.93,
Asteraceae,Argyroxiphium,no,Argyroxiphium spp.,family,1,
Cactaceae,Ariocarpus,no,Ariocarpus agavoides,species,50,
Cactaceae,Ariocarpus,no,Ariocarpus bravoanus,species,68,
Cactaceae,Ariocarpus,no,Ariocarpus fissuratus,species,93,
Cactaceae,Ariocarpus,no,Ariocarpus kotschoubeyanus,species,46,
Cactaceae,Ariocarpus,no,Ariocarpus retusus,species,123,
Cactaceae,Ariocarpus,no,Ariocarpus scaphirostrus,species,26,
Cactaceae,Ariocarpus,no,Ariocarpus trigonus,species,116,
Iridaceae,Aristea,no,Aristea spp.,genus,NA,
Aristolochiaceae,Aristolochia,no,Aristolochia paucinervis,species,42.4619564,yes
Aristolochiaceae,Aristolochia,no,Aristolochia paucinervis,species,42.5,
Aristolochiaceae,Aristolochia,no,Aristolochia spp.,family,NA,
Elaeocarpaceae,Aristotelia,no,Aristotelia chilensis,species,4,
Schoepfiaceae,Arjona,no,Arjona patagonica,species,1,yes
Schoepfiaceae,Arjona,no,Arjona patagonica,species,1,
Brassicaceae,Armoracia,no,Armoracia spp.,genus,14,
Asteraceae,Arnica,no,Arnica cordifolia,species,1,
Asteraceae,Artemisia,no,Artemisia dracunculus,species,1,
Asteraceae,Artemisia,no,Artemisia maritima,species,1,
Araceae,Arum,no,Arum concinnatum,species,7.4,
Araceae,Arum,no,Arum cylindraceum,species,3.8,
Araceae,Arum,no,Arum italicum,species,5.8,
Araceae,Arum,no,Arum maculatum,species,4.8,
Araceae,Arum,no,Arum spp.,genus,NA,
Araceae,Arum,no,Arum spp.,genus,3.5,
Sapindaceae,Arytera,no,Arytera spp.,genus,2.5,
Aristolochiaceae,Asarum,no,Asarum spp.,family,NA,
Annonaceae,Asimina,no,Asimina obovata,species,37.4,
Annonaceae,Asimina,no,Asimina obovata,species,37.44,yes
Annonaceae,Asimina,no,Asimina parviflora,species,23.6,
Annonaceae,Asimina,no,Asimina pygmaea,species,23.94,
Annonaceae,Asimina,no,Asimina pygmaea,species,23.94,yes
Annonaceae,Asimina,no,Asimina spp.,genus,NA,
Annonaceae,Asimina,no,Asimina spp.,genus,NA,
Asparagaceae,Asparagus,no,Asparagus racemosus,species,NA,
Asparagaceae,Asparagus,no,Asparagus racemosus,species,30,
Asparagaceae,Asparagus,no,Asparagus racemosus,species,21,
Rubiaceae,Asperula,no,Asperula gemella,species,2,
Rubiaceae,Asperula,no,Asperula gemella,species,2,
Asphodelaceae,Asphodelus,no,Asphodelus aestivus,species,6,
Asphodelaceae,Asphodelus,no,Asphodelus albus,species,6,
Asphodelaceae,Asphodelus,no,Asphodelus albus,species,6,yes
Asparagaceae,Aspidistra,no,Aspidistra spp.,genus,NA,
Malpighiaceae,Aspidopterys,no,Aspidopterys spp.,genus,3,
Cyclanthaceae,Asplundia,no,Asplundia fendleri,species,82.34,
